unitid,year,fips,ftpt,retention_rate,returning_students,prev_cohort,prev_exclusions,prev_cohort_adj
101161,2020,1,99,0.51,788.0,1545.0,0.0,1545.0
101189,2020,1,1,0.6,156.0,258.0,0.0,258.0
101189,2020,1,2,0.33,5.0,15.0,0.0,15.0
101189,2020,1,99,0.59,161.0,273.0,0.0,273.0
101240,2020,1,1,0.54,435.0,812.0,0.0,812.0
101240,2020,1,2,0.38,87.0,231.0,0.0,231.0
101240,2020,1,99,0.5,522.0,1043.0,0.0,1043.0
101277,2020,1,1,0.78,38.0,49.0,0.0,49.0
101277,2020,1,2,,,,,
101277,2020,1,99,0.78,38.0,49.0,0.0,49.0
101286,2020,1,1,0.55,378.0,686.0,0.0,686.0
101286,2020,1,2,0.46,104.0,224.0,0.0,224.0
101286,2020,1,99,0.53,482.0,910.0,0.0,910.0
101295,2020,1,1,0.64,619.0,967.0,0.0,967.0
101295,2020,1,2,0.53,147.0,275.0,0.0,275.0
101295,2020,1,99,0.62,766.0,1242.0,0.0,1242.0
101301,2020,1,1,0.57,139.0,242.0,0.0,242.0
101301,2020,1,2,0.17,6.0,35.0,0.0,35.0
101301,2020,1,99,0.52,145.0,277.0,0.0,277.0
101365,2020,1,1,1.0,1.0,1.0,0.0,1.0
101365,2020,1,2,,0.0,0.0,0.0,0.0
101365,2020,1,99,1.0,1.0,1.0,0.0,1.0
101435,2020,1,1,0.7,179.0,256.0,0.0,256.0
101435,2020,1,2,,0.0,0.0,0.0,0.0
101435,2020,1,99,0.7,179.0,256.0,0.0,256.0
101453,2020,1,1,1.0,1.0,1.0,0.0,1.0
101453,2020,1,2,,0.0,0.0,0.0,0.0
101453,2020,1,99,1.0,1.0,1.0,0.0,1.0
101462,2020,1,1,0.5,37.0,74.0,0.0,74.0
101462,2020,1,2,0.27,14.0,52.0,0.0,52.0
101462,2020,1,99,0.4,51.0,126.0,0.0,126.0
101471,2020,1,1,0.65,115.0,176.0,0.0,176.0
101471,2020,1,2,0.46,27.0,59.0,0.0,59.0
101471,2020,1,99,0.6,142.0,235.0,0.0,235.0
101480,2020,1,1,0.73,1078.0,1469.0,0.0,1469.0
101480,2020,1,2,0.5,12.0,24.0,0.0,24.0
101480,2020,1,99,0.73,1090.0,1493.0,0.0,1493.0
101505,2020,1,1,0.59,565.0,954.0,0.0,954.0
101505,2020,1,2,0.43,272.0,633.0,0.0,633.0
101505,2020,1,99,0.53,837.0,1587.0,0.0,1587.0
101514,2020,1,1,0.61,746.0,1214.0,0.0,1214.0
101514,2020,1,2,0.4,302.0,761.0,1.0,760.0
101514,2020,1,99,0.53,1048.0,1975.0,1.0,1974.0
101541,2020,1,1,0.63,29.0,46.0,0.0,46.0
101541,2020,1,2,,0.0,0.0,0.0,0.0
101541,2020,1,99,0.63,29.0,46.0,0.0,46.0
101569,2020,1,1,0.51,343.0,671.0,0.0,671.0
101569,2020,1,2,0.21,49.0,234.0,0.0,234.0
101569,2020,1,99,0.43,392.0,905.0,0.0,905.0
101587,2020,1,1,0.63,200.0,320.0,0.0,320.0
101587,2020,1,2,1.0,2.0,2.0,0.0,2.0
101587,2020,1,99,0.63,202.0,322.0,0.0,322.0
101602,2020,1,1,0.66,262.0,399.0,0.0,399.0
101602,2020,1,2,0.54,22.0,41.0,0.0,41.0
101602,2020,1,99,0.65,284.0,440.0,0.0,440.0
101648,2020,1,1,0.34,91.0,269.0,1.0,268.0
101648,2020,1,2,,,,,
101648,2020,1,99,0.34,91.0,269.0,1.0,268.0
101675,2020,1,1,0.55,168.0,304.0,0.0,304.0
101675,2020,1,2,0.29,2.0,7.0,0.0,7.0
101675,2020,1,99,0.55,170.0,311.0,0.0,311.0
101693,2020,1,1,0.78,208.0,266.0,0.0,266.0
101693,2020,1,2,,0.0,0.0,0.0,0.0
101693,2020,1,99,0.78,208.0,266.0,0.0,266.0
101709,2020,1,1,0.78,378.0,482.0,0.0,482.0
101709,2020,1,2,0.18,2.0,11.0,0.0,11.0
101709,2020,1,99,0.77,380.0,493.0,0.0,493.0
101736,2020,1,1,0.57,335.0,589.0,0.0,589.0
101736,2020,1,2,0.42,66.0,159.0,0.0,159.0
101736,2020,1,99,0.54,401.0,748.0,0.0,748.0
101879,2020,1,1,0.77,788.0,1020.0,1.0,1019.0
101879,2020,1,2,0.4,4.0,10.0,0.0,10.0
101879,2020,1,99,0.77,792.0,1030.0,1.0,1029.0
101897,2020,1,1,0.63,274.0,434.0,0.0,434.0
101897,2020,1,2,0.35,44.0,127.0,0.0,127.0
101897,2020,1,99,0.57,318.0,561.0,0.0,561.0
101912,2020,1,1,0.74,222.0,299.0,0.0,299.0
101912,2020,1,2,,,,,
101912,2020,1,99,0.74,222.0,299.0,0.0,299.0
101994,2020,1,1,0.69,41.0,59.0,0.0,59.0
101994,2020,1,2,0.33,1.0,3.0,0.0,3.0
101994,2020,1,99,0.68,42.0,62.0,0.0,62.0
102030,2020,1,1,0.46,268.0,588.0,0.0,588.0
102030,2020,1,2,0.26,42.0,159.0,0.0,159.0
102030,2020,1,99,0.41,310.0,747.0,0.0,747.0
102049,2020,1,1,0.87,784.0,900.0,0.0,900.0
102049,2020,1,2,0.0,0.0,1.0,0.0,1.0
102049,2020,1,99,0.87,784.0,901.0,0.0,901.0
102067,2020,1,1,0.59,465.0,789.0,0.0,789.0
102067,2020,1,2,0.38,85.0,221.0,0.0,221.0
102067,2020,1,99,0.54,550.0,1010.0,0.0,1010.0
102076,2020,1,1,0.6,346.0,577.0,0.0,577.0
102076,2020,1,2,0.32,22.0,69.0,0.0,69.0
102076,2020,1,99,0.57,368.0,646.0,0.0,646.0
102094,2020,1,1,0.76,1223.0,1600.0,0.0,1600.0
102094,2020,1,2,0.53,9.0,17.0,0.0,17.0
102094,2020,1,99,0.76,1232.0,1617.0,0.0,1617.0
102234,2020,1,1,0.81,237.0,292.0,0.0,292.0
102234,2020,1,2,0.0,0.0,3.0,0.0,3.0
102234,2020,1,99,0.8,237.0,295.0,0.0,295.0
102270,2020,1,1,0.56,130.0,231.0,0.0,231.0
102270,2020,1,2,1.0,1.0,1.0,0.0,1.0
102270,2020,1,99,0.56,131.0,232.0,0.0,232.0
102298,2020,1,1,0.65,184.0,285.0,0.0,285.0
102298,2020,1,2,0.33,2.0,6.0,0.0,6.0
102298,2020,1,99,0.64,186.0,291.0,0.0,291.0
102313,2020,1,1,0.51,170.0,332.0,0.0,332.0
102313,2020,1,2,0.23,30.0,133.0,0.0,133.0
102313,2020,1,99,0.43,200.0,465.0,0.0,465.0
102368,2020,1,1,0.77,1052.0,1365.0,0.0,1365.0
102368,2020,1,2,0.38,95.0,250.0,0.0,250.0
102368,2020,1,99,0.71,1147.0,1615.0,0.0,1615.0
102377,2020,1,1,0.77,399.0,518.0,0.0,518.0
102377,2020,1,2,0.89,8.0,9.0,0.0,9.0
102377,2020,1,99,0.77,407.0,527.0,0.0,527.0
102395,2020,1,1,,,,,
102395,2020,1,2,,,,,
102395,2020,1,99,,0.0,0.0,0.0,0.0
102429,2020,1,1,0.59,350.0,597.0,0.0,597.0
102429,2020,1,2,0.51,85.0,167.0,0.0,167.0
102429,2020,1,99,0.57,435.0,764.0,0.0,764.0
102553,2020,2,1,0.68,538.0,789.0,0.0,789.0
102553,2020,2,2,0.37,65.0,176.0,0.0,176.0
102553,2020,2,99,0.62,603.0,965.0,0.0,965.0
102580,2020,2,1,0.67,2.0,3.0,0.0,3.0
102580,2020,2,2,0.0,0.0,1.0,0.0,1.0
102580,2020,2,99,0.5,2.0,4.0,0.0,4.0
102614,2020,2,1,0.78,272.0,348.0,0.0,348.0
102614,2020,2,2,0.39,13.0,33.0,0.0,33.0
102614,2020,2,99,0.75,285.0,381.0,0.0,381.0
102632,2020,2,1,0.63,38.0,60.0,0.0,60.0
102632,2020,2,2,0.32,7.0,22.0,0.0,22.0
102632,2020,2,99,0.55,45.0,82.0,0.0,82.0
102669,2020,2,1,0.56,25.0,48.0,3.0,45.0
102669,2020,2,2,0.75,3.0,4.0,0.0,4.0
102669,2020,2,99,0.57,28.0,52.0,3.0,49.0
102711,2020,2,1,0.81,50.0,62.0,0.0,62.0
102711,2020,2,2,1.0,462.0,464.0,0.0,464.0
102711,2020,2,99,0.97,512.0,526.0,0.0,526.0
102845,2020,53,1,,0.0,0.0,0.0,0.0
102845,2020,53,2,,,,,
102845,2020,53,99,,0.0,0.0,0.0,0.0
103501,2020,2,1,0.71,179.0,252.0,1.0,251.0
103501,2020,2,2,,,,,
103501,2020,2,99,0.71,179.0,252.0,1.0,251.0
103741,2020,4,1,0.67,35.0,52.0,0.0,52.0
103741,2020,4,2,0.6,9.0,15.0,0.0,15.0
103741,2020,4,99,0.66,44.0,67.0,0.0,67.0
103893,2020,4,1,0.72,79.0,110.0,0.0,110.0
103893,2020,4,2,,,,,
103893,2020,4,99,0.72,79.0,110.0,0.0,110.0
103909,2020,4,1,0.59,39.0,66.0,0.0,66.0
103909,2020,4,2,,,,,
103909,2020,4,99,0.59,39.0,66.0,0.0,66.0
103927,2020,4,1,0.78,32.0,41.0,0.0,41.0
103927,2020,4,2,,,,,
103927,2020,4,99,0.78,32.0,41.0,0.0,41.0
103945,2020,4,1,1.0,2.0,2.0,0.0,2.0
103945,2020,4,2,,,,,
103945,2020,4,99,1.0,2.0,2.0,0.0,2.0
103954,2020,4,1,1.0,3.0,3.0,0.0,3.0
103954,2020,4,2,,,,,
103954,2020,4,99,1.0,3.0,3.0,0.0,3.0
103963,2020,4,1,0.49,49.0,99.0,0.0,99.0
103963,2020,4,2,,0.0,0.0,0.0,0.0
103963,2020,4,99,0.49,49.0,99.0,0.0,99.0
104090,2020,4,1,0.68,13.0,19.0,0.0,19.0
104090,2020,4,2,,0.0,0.0,0.0,0.0
104090,2020,4,99,0.68,13.0,19.0,0.0,19.0
104151,2020,4,1,0.86,11824.0,13837.0,120.0,13717.0
104151,2020,4,2,0.5,62.0,128.0,4.0,124.0
104151,2020,4,99,0.86,11886.0,13965.0,124.0,13841.0
104160,2020,4,1,0.61,384.0,627.0,0.0,627.0
104160,2020,4,2,0.41,501.0,1223.0,0.0,1223.0
104160,2020,4,99,0.48,885.0,1850.0,0.0,1850.0
104179,2020,4,1,0.85,5143.0,6036.0,19.0,6017.0
104179,2020,4,2,0.67,1101.0,1647.0,0.0,1647.0
104179,2020,4,99,0.81,6244.0,7683.0,19.0,7664.0
104346,2020,4,1,0.51,260.0,514.0,0.0,514.0
104346,2020,4,2,0.32,274.0,862.0,0.0,862.0
104346,2020,4,99,0.39,534.0,1376.0,0.0,1376.0
104391,2020,4,1,0.84,47.0,56.0,0.0,56.0
104391,2020,4,2,,,,,
104391,2020,4,99,0.84,47.0,56.0,0.0,56.0
104425,2020,4,1,0.62,322.0,520.0,0.0,520.0
104425,2020,4,2,0.27,53.0,197.0,0.0,197.0
104425,2020,4,99,0.52,375.0,717.0,0.0,717.0
104434,2020,4,1,0.85,11.0,13.0,0.0,13.0
104434,2020,4,2,,,,,
104434,2020,4,99,0.85,11.0,13.0,0.0,13.0
104443,2020,4,1,0.68,13.0,19.0,0.0,19.0
104443,2020,4,2,0.8,4.0,5.0,0.0,5.0
104443,2020,4,99,0.71,17.0,24.0,0.0,24.0
104568,2020,4,1,0.95,71.0,75.0,0.0,75.0
104568,2020,4,2,0.86,57.0,67.0,1.0,66.0
104568,2020,4,99,0.91,128.0,142.0,1.0,141.0
104577,2020,4,1,0.7,327.0,464.0,0.0,464.0
104577,2020,4,2,0.48,347.0,731.0,3.0,728.0
104577,2020,4,99,0.57,674.0,1195.0,3.0,1192.0
104586,2020,4,1,0.82,618.0,752.0,0.0,752.0
104586,2020,4,2,1.0,2.0,2.0,0.0,2.0
104586,2020,4,99,0.82,620.0,754.0,0.0,754.0
104708,2020,4,1,0.56,782.0,1397.0,0.0,1397.0
104708,2020,4,2,0.35,345.0,985.0,0.0,985.0
104708,2020,4,99,0.47,1127.0,2382.0,0.0,2382.0
104717,2020,4,1,0.74,4177.0,5679.0,0.0,5679.0
104717,2020,4,2,0.42,408.0,977.0,3.0,974.0
104717,2020,4,99,0.69,4585.0,6656.0,3.0,6653.0
105145,2020,4,1,0.56,160.0,288.0,0.0,288.0
105145,2020,4,2,0.39,116.0,295.0,0.0,295.0
105145,2020,4,99,0.47,276.0,583.0,0.0,583.0
105154,2020,4,1,0.56,724.0,1289.0,0.0,1289.0
105154,2020,4,2,0.34,347.0,1025.0,0.0,1025.0
105154,2020,4,99,0.46,1071.0,2314.0,0.0,2314.0
105206,2020,4,1,0.54,84.0,156.0,0.0,156.0
105206,2020,4,2,0.35,114.0,325.0,0.0,325.0
105206,2020,4,99,0.41,198.0,481.0,0.0,481.0
105215,2020,4,1,0.72,130.0,181.0,0.0,181.0
105215,2020,4,2,,,,,
105215,2020,4,99,0.72,130.0,181.0,0.0,181.0
105297,2020,4,1,0.5,4.0,8.0,0.0,8.0
105297,2020,4,2,0.5,2.0,4.0,0.0,4.0
105297,2020,4,99,0.5,6.0,12.0,0.0,12.0
105330,2020,4,1,0.76,3639.0,4772.0,0.0,4772.0
105330,2020,4,2,0.55,370.0,678.0,0.0,678.0
105330,2020,4,99,0.74,4009.0,5450.0,0.0,5450.0
105349,2020,4,1,0.3,12.0,40.0,0.0,40.0
105349,2020,4,2,0.29,25.0,86.0,0.0,86.0
105349,2020,4,99,0.29,37.0,126.0,0.0,126.0
105367,2020,4,1,,,,,
105367,2020,4,2,,,,,
105367,2020,4,99,,0.0,0.0,0.0,0.0
105428,2020,4,1,0.55,363.0,657.0,0.0,657.0
105428,2020,4,2,0.34,194.0,576.0,0.0,576.0
105428,2020,4,99,0.45,557.0,1233.0,0.0,1233.0
105525,2020,4,1,0.59,821.0,1380.0,0.0,1380.0
105525,2020,4,2,0.4,791.0,1991.0,1.0,1990.0
105525,2020,4,99,0.48,1612.0,3371.0,1.0,3370.0
105534,2020,4,1,,0.0,0.0,0.0,0.0
105534,2020,4,2,,,,,
105534,2020,4,99,,0.0,0.0,0.0,0.0
105543,2020,35,1,0.75,72.0,96.0,0.0,96.0
105543,2020,35,2,,,,,
105543,2020,35,99,0.75,72.0,96.0,0.0,96.0
105589,2020,4,1,0.59,30.0,51.0,0.0,51.0
105589,2020,4,2,,0.0,0.0,0.0,0.0
105589,2020,4,99,0.59,30.0,51.0,0.0,51.0
105659,2020,4,1,0.78,230.0,297.0,1.0,296.0
105659,2020,4,2,,,,,
105659,2020,4,99,0.78,230.0,297.0,1.0,296.0
105668,2020,4,1,0.4,35.0,88.0,0.0,88.0
105668,2020,4,2,0.26,77.0,294.0,0.0,294.0
105668,2020,4,99,0.29,112.0,382.0,0.0,382.0
105677,2020,4,1,,,,,
105677,2020,4,2,,,,,
105677,2020,4,99,,0.0,0.0,0.0,0.0
105747,2020,4,1,0.64,262.0,411.0,0.0,411.0
105747,2020,4,2,0.36,92.0,259.0,0.0,259.0
105747,2020,4,99,0.53,354.0,670.0,0.0,670.0
105792,2020,4,1,0.51,183.0,362.0,0.0,362.0
105792,2020,4,2,0.28,66.0,238.0,0.0,238.0
105792,2020,4,99,0.42,249.0,600.0,0.0,600.0
105899,2020,4,1,0.47,102.0,219.0,0.0,219.0
105899,2020,4,2,1.0,3.0,3.0,0.0,3.0
105899,2020,4,99,0.47,105.0,222.0,0.0,222.0
106041,2020,4,1,0.72,335.0,469.0,1.0,468.0
106041,2020,4,2,,,,,
106041,2020,4,99,0.72,335.0,469.0,1.0,468.0
106111,2020,4,1,0.56,9.0,16.0,0.0,16.0
106111,2020,4,2,0.45,5.0,11.0,0.0,11.0
106111,2020,4,99,0.52,14.0,27.0,0.0,27.0
106148,2020,4,1,0.62,350.0,564.0,0.0,564.0
106148,2020,4,2,0.39,203.0,519.0,0.0,519.0
106148,2020,4,99,0.51,553.0,1083.0,0.0,1083.0
106245,2020,5,1,0.73,402.0,550.0,0.0,550.0
106245,2020,5,2,0.76,16.0,21.0,0.0,21.0
106245,2020,5,99,0.73,418.0,571.0,0.0,571.0
106263,2020,5,1,,,,,
106263,2020,5,2,,,,,
106263,2020,5,99,,0.0,0.0,0.0,0.0
106306,2020,5,1,0.43,12.0,28.0,0.0,28.0
106306,2020,5,2,0.38,3.0,8.0,0.0,8.0
106306,2020,5,99,0.42,15.0,36.0,0.0,36.0
106315,2020,5,1,0.67,2.0,3.0,0.0,3.0
106315,2020,5,2,,,,,
106315,2020,5,99,0.67,2.0,3.0,0.0,3.0
106324,2020,5,1,0.87,13.0,15.0,0.0,15.0
106324,2020,5,2,0.67,2.0,3.0,0.0,3.0
106324,2020,5,99,0.83,15.0,18.0,0.0,18.0
106342,2020,5,1,0.69,119.0,173.0,0.0,173.0
106342,2020,5,2,,,,,
106342,2020,5,99,0.69,119.0,173.0,0.0,173.0
106351,2020,5,1,0.6,3.0,5.0,0.0,5.0
106351,2020,5,2,,,,,
106351,2020,5,99,0.6,3.0,5.0,0.0,5.0
106360,2020,5,1,0.71,5.0,7.0,0.0,7.0
106360,2020,5,2,,,,,
106360,2020,5,99,0.71,5.0,7.0,0.0,7.0
106397,2020,5,1,0.85,3863.0,4562.0,2.0,4560.0
106397,2020,5,2,0.56,22.0,39.0,0.0,39.0
106397,2020,5,99,0.84,3885.0,4601.0,2.0,4599.0
106412,2020,5,1,0.74,356.0,481.0,1.0,480.0
106412,2020,5,2,0.29,2.0,7.0,0.0,7.0
106412,2020,5,99,0.74,358.0,488.0,1.0,487.0
106449,2020,5,1,0.63,426.0,681.0,0.0,681.0
106449,2020,5,2,0.37,23.0,63.0,0.0,63.0
106449,2020,5,99,0.6,449.0,744.0,0.0,744.0
106458,2020,5,1,0.79,1053.0,1333.0,1.0,1332.0
106458,2020,5,2,0.33,14.0,42.0,0.0,42.0
106458,2020,5,99,0.78,1067.0,1375.0,1.0,1374.0
106467,2020,5,1,0.67,1121.0,1668.0,0.0,1668.0
106467,2020,5,2,0.38,8.0,21.0,0.0,21.0
106467,2020,5,99,0.67,1129.0,1689.0,0.0,1689.0
106485,2020,5,1,0.75,196.0,262.0,0.0,262.0
106485,2020,5,2,0.6,3.0,5.0,0.0,5.0
106485,2020,5,99,0.75,199.0,267.0,0.0,267.0
106494,2020,5,1,0.42,5.0,12.0,0.0,12.0
106494,2020,5,2,,,,,
106494,2020,5,99,0.42,5.0,12.0,0.0,12.0
106546,2020,5,1,0.75,3.0,4.0,0.0,4.0
106546,2020,5,2,,,,,
106546,2020,5,99,0.75,3.0,4.0,0.0,4.0
106625,2020,5,1,0.48,142.0,294.0,0.0,294.0
106625,2020,5,2,0.46,27.0,59.0,0.0,59.0
106625,2020,5,99,0.48,169.0,353.0,0.0,353.0
106704,2020,5,1,0.79,1449.0,1838.0,0.0,1838.0
106704,2020,5,2,0.5,1.0,2.0,0.0,2.0
106704,2020,5,99,0.79,1450.0,1840.0,0.0,1840.0
106713,2020,5,1,0.57,59.0,105.0,1.0,104.0
106713,2020,5,2,,,,,
106713,2020,5,99,0.57,59.0,105.0,1.0,104.0
106795,2020,5,1,0.59,136.0,232.0,0.0,232.0
106795,2020,5,2,0.38,23.0,61.0,0.0,61.0
106795,2020,5,99,0.54,159.0,293.0,0.0,293.0
106810,2020,5,1,0.74,20.0,27.0,0.0,27.0
106810,2020,5,2,,,,,
106810,2020,5,99,0.74,20.0,27.0,0.0,27.0
106883,2020,5,1,0.52,108.0,207.0,0.0,207.0
106883,2020,5,2,0.16,10.0,64.0,0.0,64.0
106883,2020,5,99,0.44,118.0,271.0,0.0,271.0
106892,2020,5,1,,,,,
106892,2020,5,2,,,,,
106892,2020,5,99,,0.0,0.0,0.0,0.0
106908,2020,5,1,0.71,48.0,69.0,1.0,68.0
106908,2020,5,2,,0.0,0.0,0.0,0.0
106908,2020,5,99,0.71,48.0,69.0,1.0,68.0
106980,2020,5,1,0.59,213.0,358.0,0.0,358.0
106980,2020,5,2,0.34,24.0,71.0,0.0,71.0
106980,2020,5,99,0.55,237.0,429.0,0.0,429.0
106999,2020,5,1,0.52,130.0,250.0,2.0,248.0
106999,2020,5,2,0.64,9.0,14.0,0.0,14.0
106999,2020,5,99,0.53,139.0,264.0,2.0,262.0
107044,2020,5,1,0.87,698.0,804.0,0.0,804.0
107044,2020,5,2,0.75,3.0,4.0,0.0,4.0
107044,2020,5,99,0.87,701.0,808.0,0.0,808.0
107071,2020,5,1,0.61,478.0,785.0,0.0,785.0
107071,2020,5,2,0.0,0.0,6.0,0.0,6.0
107071,2020,5,99,0.6,478.0,791.0,0.0,791.0
107080,2020,5,1,0.82,233.0,284.0,0.0,284.0
107080,2020,5,2,,,,,
107080,2020,5,99,0.82,233.0,284.0,0.0,284.0
107099,2020,5,1,0.83,5.0,6.0,0.0,6.0
107099,2020,5,2,,,,,
107099,2020,5,99,0.83,5.0,6.0,0.0,6.0
107123,2020,5,1,,,,,
107123,2020,5,2,,,,,
107123,2020,5,99,,0.0,0.0,0.0,0.0
107141,2020,5,1,0.86,274.0,318.0,0.0,318.0
107141,2020,5,2,1.0,1.0,1.0,0.0,1.0
107141,2020,5,99,0.86,275.0,319.0,0.0,319.0
107220,2020,5,1,0.76,69.0,91.0,0.0,91.0
107220,2020,5,2,,,,,
107220,2020,5,99,0.76,69.0,91.0,0.0,91.0
107293,2020,5,1,0.65,11.0,17.0,0.0,17.0
107293,2020,5,2,,,,,
107293,2020,5,99,0.65,11.0,17.0,0.0,17.0
107318,2020,5,1,0.55,48.0,87.0,0.0,87.0
107318,2020,5,2,0.36,20.0,56.0,0.0,56.0
107318,2020,5,99,0.48,68.0,143.0,0.0,143.0
107327,2020,5,1,0.52,134.0,260.0,0.0,260.0
107327,2020,5,2,0.21,9.0,43.0,0.0,43.0
107327,2020,5,99,0.47,143.0,303.0,0.0,303.0
107442,2020,5,1,0.75,3.0,4.0,0.0,4.0
107442,2020,5,2,,,,,
107442,2020,5,99,0.75,3.0,4.0,0.0,4.0
107460,2020,5,1,0.58,203.0,351.0,0.0,351.0
107460,2020,5,2,0.55,21.0,38.0,0.0,38.0
107460,2020,5,99,0.58,224.0,389.0,0.0,389.0
107488,2020,5,1,0.9,155.0,172.0,0.0,172.0
107488,2020,5,2,0.5,2.0,4.0,0.0,4.0
107488,2020,5,99,0.89,157.0,176.0,0.0,176.0
107512,2020,5,1,0.81,359.0,441.0,0.0,441.0
107512,2020,5,2,,0.0,0.0,0.0,0.0
107512,2020,5,99,0.81,359.0,441.0,0.0,441.0
107521,2020,5,1,0.55,37.0,67.0,0.0,67.0
107521,2020,5,2,0.19,5.0,26.0,0.0,26.0
107521,2020,5,99,0.45,42.0,93.0,0.0,93.0
107549,2020,5,1,0.57,92.0,162.0,0.0,162.0
107549,2020,5,2,0.33,13.0,40.0,0.0,40.0
107549,2020,5,99,0.52,105.0,202.0,0.0,202.0
107558,2020,5,1,0.69,145.0,209.0,0.0,209.0
107558,2020,5,2,,,,,
107558,2020,5,99,0.69,145.0,209.0,0.0,209.0
107585,2020,5,1,0.59,234.0,400.0,0.0,400.0
107585,2020,5,2,0.44,43.0,98.0,0.0,98.0
107585,2020,5,99,0.56,277.0,498.0,0.0,498.0
107600,2020,5,1,0.58,146.0,250.0,0.0,250.0
107600,2020,5,2,0.67,2.0,3.0,0.0,3.0
107600,2020,5,99,0.58,148.0,253.0,0.0,253.0
107619,2020,5,1,0.47,68.0,145.0,0.0,145.0
107619,2020,5,2,0.44,7.0,16.0,0.0,16.0
107619,2020,5,99,0.47,75.0,161.0,0.0,161.0
107637,2020,5,1,0.42,55.0,131.0,0.0,131.0
107637,2020,5,2,0.43,60.0,138.0,0.0,138.0
107637,2020,5,99,0.43,115.0,269.0,0.0,269.0
107655,2020,5,1,0.64,9.0,14.0,0.0,14.0
107655,2020,5,2,,,,,
107655,2020,5,99,0.64,9.0,14.0,0.0,14.0
107664,2020,5,1,0.49,406.0,827.0,0.0,827.0
107664,2020,5,2,0.33,84.0,254.0,0.0,254.0
107664,2020,5,99,0.45,490.0,1081.0,0.0,1081.0
107725,2020,5,1,0.51,86.0,168.0,0.0,168.0
107725,2020,5,2,0.39,29.0,75.0,0.0,75.0
107725,2020,5,99,0.47,115.0,243.0,0.0,243.0
107743,2020,5,1,0.65,117.0,182.0,1.0,181.0
107743,2020,5,2,0.64,18.0,28.0,0.0,28.0
107743,2020,5,99,0.65,135.0,210.0,1.0,209.0
107789,2020,5,1,0.71,20.0,28.0,0.0,28.0
107789,2020,5,2,,,,,
107789,2020,5,99,0.71,20.0,28.0,0.0,28.0
107831,2020,5,1,0.38,3.0,8.0,0.0,8.0
107831,2020,5,2,,,,,
107831,2020,5,99,0.38,3.0,8.0,0.0,8.0
107840,2020,5,1,0.5,19.0,38.0,0.0,38.0
107840,2020,5,2,0.67,6.0,9.0,0.0,9.0
107840,2020,5,99,0.53,25.0,47.0,0.0,47.0
107877,2020,5,1,0.53,104.0,198.0,0.0,198.0
107877,2020,5,2,,,,,
107877,2020,5,99,0.53,104.0,198.0,0.0,198.0
107974,2020,5,1,0.53,92.0,174.0,0.0,174.0
107974,2020,5,2,0.37,22.0,60.0,0.0,60.0
